stock_locate,tracking_number,timestamp,mpid,primary_market_maker,market_maker_mode,market_participant_state
8605,0,0 days 03:07:16.574637233,STFL,1,N,A
1033,0,0 days 03:07:16.574650292,CDRG,1,N,A
733,0,0 days 03:07:16.574665259,CTDL,1,N,A
386,0,0 days 03:07:16.574681673,CSTI,1,N,A
6331,0,0 days 03:07:16.574695842,IMCC,1,N,A
3711,0,0 days 03:07:16.574709359,ETMM,1,N,A
1390,0,0 days 03:07:16.574723482,JEFF,1,N,A
7352,0,0 days 03:07:16.574737531,UBSS,1,N,A
456,0,0 days 03:07:16.574750862,VALX,1,N,A
165,0,0 days 03:07:16.574764596,MLCO,1,N,A
528,0,0 days 03:07:16.574778418,MSCO,1,N,A
1006,0,0 days 03:07:16.574792678,RHCO,1,N,A
2883,0,0 days 03:07:16.574806200,SUFI,1,N,A
5645,0,0 days 03:07:16.574820278,TSSM,1,N,A
882,0,0 days 03:07:16.574833852,UBSS,1,N,A
7030,0,0 days 03:07:16.574847276,COWN,1,N,A
6736,0,0 days 03:07:16.574860827,ETMM,1,N,A
5787,0,0 days 03:07:16.574874471,GTSM,1,N,A
2098,0,0 days 03:07:16.574888856,CTDL,1,N,A
7400,0,0 days 03:07:16.574904779,JEFF,1,N,A
5922,0,0 days 03:07:16.574919025,MLCO,1,N,A
7175,0,0 days 03:07:16.574932532,MLCO,1,N,A
5499,0,0 days 03:07:16.574946035,KEYB,1,N,A
1229,0,0 days 03:07:16.574959186,RBCM,1,N,A
340,0,0 days 03:07:16.574972890,SOHO,1,N,A
6286,0,0 days 03:07:16.574985918,WEDB,1,N,A
190,0,0 days 03:07:16.574999788,VALX,1,N,A
1017,0,0 days 03:07:16.575013708,CDRG,1,N,A
3236,0,0 days 03:07:16.575027606,GTSM,1,N,A
2692,0,0 days 03:07:16.575041248,MLCO,1,N,A
6399,0,0 days 03:07:16.575054845,STFL,1,N,A
6282,0,0 days 03:07:16.575068298,UBSS,1,N,A
8340,0,0 days 03:07:16.575082071,BKCM,1,N,A
1649,0,0 days 03:07:16.575094940,CANT,1,N,A
8458,0,0 days 03:07:16.575109668,COWN,1,N,A
6924,0,0 days 03:07:16.575125783,CSTI,1,N,A
5771,0,0 days 03:07:16.575139336,CTDL,1,N,A
396,0,0 days 03:07:16.575156437,GSCO,1,N,A
5647,0,0 days 03:07:16.575170380,RAJA,1,N,A
5753,0,0 days 03:07:16.575183955,SUFI,1,N,A
192,0,0 days 03:07:16.575196814,SUFI,1,N,A
5120,0,0 days 03:07:16.575210949,WEDB,1,N,A
8484,0,0 days 03:07:16.575224018,IMCC,1,N,A
4981,0,0 days 03:07:16.575237545,LEHM,1,N,A
2456,0,0 days 03:07:16.575251143,GTSM,1,N,A
2370,0,0 days 03:07:16.575264825,GTSM,1,N,A
5834,0,0 days 03:07:16.575278016,LEER,1,N,A
4318,0,0 days 03:07:16.575291235,LEHM,1,N,A
1731,0,0 days 03:07:16.575305076,MLCO,1,N,A
5180,0,0 days 03:07:16.575318781,SUFI,1,N,A
4519,0,0 days 03:07:16.575333597,VALX,1,N,A
7416,0,0 days 03:07:16.575349278,WSEA,1,N,A
4700,0,0 days 03:07:16.575362291,BARD,1,N,A
2281,0,0 days 03:07:16.575376277,CANT,1,N,A
6066,0,0 days 03:07:16.575389904,CDRG,1,N,A
3722,0,0 days 03:07:16.575403010,COWN,1,N,A
4000,0,0 days 03:07:16.575417147,ETMM,1,N,A
1171,0,0 days 03:07:16.575431142,GSCO,1,N,A
8857,0,0 days 03:07:16.575445557,UBSS,1,N,A
2446,0,0 days 03:07:16.575460012,WSEA,1,N,A
3462,0,0 days 03:07:16.575474201,WSEA,1,N,A
861,0,0 days 03:07:16.575487956,IMCC,1,N,A
18,0,0 days 03:07:16.575501625,NEED,1,N,A
5803,0,0 days 03:07:16.575515835,MZHO,1,N,A
4884,0,0 days 03:07:16.575529394,NITE,1,N,A
8556,0,0 days 03:07:16.575543076,SOHO,1,N,A
