date,SPDR S&P 500 ETF TRUST_original,CITIGROUP INC_original,SPDR S&P 500 ETF TRUST_smoothed,CITIGROUP INC_smoothed,Estimated_SPDR S&P 500 ETF TRUST_original,Estimated_SPDR S&P 500 ETF TRUST_smoothed,spread_original,spread_smoothed,z_score,hedge_ratio,intercept,side
2017-06-15,213.797,54.1904,213.63241822478767,53.72166263801102,215.75111437238172,213.91956989428803,-1.9541143723817243,-0.28715166950036064,-0.5396451792908272,-3.9074002343699865,-4.007532711778424,
2017-06-16,213.846,54.0151,213.67513457983014,53.78035011040881,214.7423527474309,213.82649801963262,-0.8963527474309112,-0.15136343980248146,-0.08486834621980448,-3.9014064261892965,-4.007494496173451,
2017-06-19,215.607,54.5153,214.06150766386412,53.92734008832705,216.46064352013875,214.16928788667096,-0.8536435201387578,-0.1077802228068494,0.053234521646228945,-3.8971290184530916,-4.007485940462925,
2017-06-20,214.171,54.0289,214.0834061310913,53.94765207066164,214.45244440347844,214.13598008411563,-0.2814444034784529,-0.05257395302434276,0.23108268067391002,-3.895044734554221,-4.007461944721889,
2017-06-21,214.132,53.9632,214.09312490487304,53.95076165652931,214.1590761889014,214.11063691737448,-0.027076188901388853,-0.017512012501440744,0.3232186044312368,-3.894350693969527,-4.007450820085011,
2017-06-22,214.028,53.7851,214.08009992389842,53.917629325223444,213.532413398551,214.04869390206613,0.49558660144899847,0.031406021832289355,0.4361485176487304,-3.895594447830264,-4.007476462555466,
2017-06-23,214.277,53.6089,214.11947993911872,53.85588346017875,213.05695263849262,214.02007143183826,1.2200473615073584,0.09940850728044737,0.6163034090620598,-3.899527493252341,-4.007573205477211,
2017-06-26,214.419,53.9211,214.17938395129497,53.868926768143005,214.3483010583431,214.1447786120313,0.0706989416569046,0.03460533926366782,0.39444864006936514,-3.9008978180540135,-4.007599721270817,
2017-06-27,212.659,54.301,213.87530716103598,53.95534141451441,215.41417237377857,214.0684416020556,-2.7551723737785823,-0.19313444101962762,-0.2857121779887394,-3.8932369344520414,-4.007513596098254,
2017-06-28,214.602,55.1066,214.02064572882878,54.185593131611526,217.89442335971148,214.3196923823636,-3.2924233597114805,-0.29904665353481885,-0.5450184566383466,-3.8813293364497383,-4.007560147710339,
2017-06-29,212.678,56.6298,213.752116583063,54.67443450528922,222.053100265563,214.52425768359902,-9.375100265562992,-0.7721411005360039,-1.8353734780465485,-3.8503505366793647,-4.0085194435178835,
2017-06-30,213.09,56.5436,213.6196932664504,55.04826760423138,220.0628070558073,214.34913317184908,-6.972807055807285,-0.7294399053986549,-1.5439220593884408,-3.821005884796142,-4.009378708248155,
